State,Abbreviation,Total Workers,Drove Alone,Car-pooled,Used Public Transportation,Walked,Other,Worked at home,Mean travel time to work (minutes)
United States ,US,133091043,102458267,14200426,6202014,3291401,2142757,4796178,25.1
Alabama ,AL,1941250,1629930,211259,8368,23230,25044,43419,23.4
Alaska ,AK,294690,200952,44555,3573,19368,14175,12067,18.3
Arizona ,AZ,2575064,1945061,366261,48964,54084,56672,104022,24.8
Arkansas ,AR,1200886,981220,147902,4007,19301,17204,31252,21
California ,CA,15547334,11503746,1946177,734704,384989,315205,662513,27
Colorado ,CO,2280261,1741595,229018,61884,66273,44460,137031,23.5
Connecticut ,CT,1657342,1343489,136359,70427,33775,19109,54183,24.8
Delaware ,DE,397033,318734,42058,8588,7159,5942,14552,23.7
District of Columbia ,DC,249865,93803,19246,94260,24905,6541,11110,29.3
Florida ,FL,7700885,6158873,851610,138505,121370,151202,279325,26
Georgia ,GA,4098555,3279567,462238,91625,54467,64670,145988,27.2
Hawaii ,HI,584015,399526,91371,33337,19369,13736,26676,25.7
Idaho ,ID,655732,499659,80176,6172,21841,15545,32339,19.8
Illinois ,IL,5794059,4343232,544427,477103,151285,83182,194830,28.1
Indiana ,IN,2835411,2357220,267109,26111,54512,43892,86567,22.5
Iowa ,IA,1471452,1178599,148227,11568,46469,22955,63634,18.4
Kansas ,KS,1329738,1097819,120959,5138,33761,19367,52694,18.4
Kentucky ,KY,1766010,1461604,192723,15605,30024,17052,49002,22.5
Louisiana ,LA,1857938,1505724,204878,35763,32101,37011,42461,24.9
Maine ,ME,640895,511509,64846,4197,23204,7836,29303,23.3
Maryland ,MD,2706453,1991786,294056,229137,56401,34581,100492,30.8
Massachusetts ,MA,3030720,2272445,256657,246856,114505,37534,102723,27
Michigan ,MI,4398500,3706894,381136,50227,79324,44140,136779,23.5
Minnesota ,MN,2595966,2050350,246567,73179,70164,34428,121278,22.2
Mississippi ,MS,1182086,974121,146915,4944,15274,18790,22042,23.5
Missouri ,MO,2683452,2188621,282018,33889,48382,33366,97176,23
Montana ,MT,455268,342374,50282,2663,21160,11641,27148,17.3
Nebraska ,NE,884076,715973,88768,5470,23631,10745,39489,17.9
Nevada ,NV,1137733,888434,132796,34377,26044,22181,33901,23.3
New Hampshire ,NH,667976,550724,58449,4594,18381,7615,28213,25
New Jersey ,NJ,3984819,2901307,369248,409797,122068,61609,120790,29.5
New Mexico ,NM,832406,637773,113161,7185,21064,13586,39637,21.2
New York ,NY,8423129,4666871,657829,2177067,469473,160088,291801,31.2
North Carolina ,NC,3908122,3174272,464893,34016,53946,56909,124086,23.3
North Dakota ,ND,329220,257386,35432,1399,13492,4267,17244,16.3
Ohio ,OH,5173442,4344165,432619,89910,97639,53571,155538,22.4
Oklahoma ,OK,1567062,1281895,171635,9079,27643,26197,50613,20.1
Oregon ,OR,1670430,1226600,191894,67891,54015,44262,85768,21.9
Pennsylvania ,PA,5538754,4282351,539609,281765,201199,62029,171801,25.1
Rhode Island ,RI,500588,408417,44664,13286,12701,7596,13924,22.7
South Carolina ,SC,1853237,1527010,213246,12429,27136,28839,44577,23.6
South Dakota ,SD,381775,295790,41964,1183,15277,4328,23233,16.6
Tennessee ,TN,2657346,2222019,275830,17812,36376,31768,73541,23.6
Texas ,TX,9969293,7901136,1246856,164997,148535,176213,331556,24.6
Utah ,UT,1152484,881508,147123,27010,23991,18749,54103,20.5
Vermont ,VT,315580,239356,34803,2789,16563,4685,17384,21.2
Virginia ,VA,3603317,2826162,409199,132604,63042,46309,126001,27
Washington ,WA,2912575,2163583,345249,137073,83595,50096,132979,24.7
West Virginia ,WV,723507,592581,78765,4784,18135,8520,20722,24.9
Wisconsin ,WI,2715114,2202733,245115,40670,79439,43120,104037,20.8
Wyoming ,WY,258198,191768,32249,4033,11319,4195,14634,17.3
